1	1	1	5	0
1	1	1	6	0
1	1	1	7	0
1	1	1	8	0
1	1	2	1	0
1	1	2	2	0
1	1	3	9	0
1	1	3	10	0
1	1	4	3	0
1	1	4	4	0
1	1	4	5	0
1	1	4	6	0
1	1	6	7	0
1	1	6	8	0
1	1	6	9	0
1	1	6	10	0
1	1	7	1	0
1	1	7	2	0
1	1	7	3	0
1	1	7	4	0
1	1	9	5	0
1	1	9	6	0
1	1	9	7	0
1	1	9	8	0
1	2	1	5	0
1	2	1	6	0
1	2	1	7	0
1	2	1	8	0
1	2	2	1	0
1	2	2	2	0
1	2	3	9	0
1	2	3	10	0
1	2	4	3	0
1	2	4	4	0
1	2	4	5	0
1	2	4	6	0
1	2	6	7	0
1	2	6	8	0
1	2	6	9	0
1	2	6	10	0
1	2	7	1	0
1	2	7	2	0
1	2	7	3	0
1	2	7	4	0
1	2	9	5	0
1	2	9	6	0
1	2	9	7	0
1	2	9	8	0
1	3	1	5	0
1	3	1	6	0
1	3	1	7	0
1	3	1	8	0
1	3	2	1	0
1	3	2	2	0
1	3	3	9	0
1	3	3	10	0
1	3	4	3	0
1	3	4	4	0
1	3	4	5	0
1	3	4	6	0
1	3	6	7	0
1	3	6	8	0
1	3	6	9	0
1	3	6	10	0
1	3	7	1	0
1	3	7	2	0
1	3	7	3	0
1	3	7	4	0
1	3	9	5	0
1	3	9	6	0
1	3	9	7	0
1	3	9	8	0
1	4	1	5	0
1	4	1	6	0
1	4	1	7	0
1	4	1	8	0
1	4	2	1	0
1	4	2	2	0
1	4	2	3	0
1	4	3	9	0
1	4	3	10	0
1	4	4	3	0
1	4	4	4	0
1	4	4	5	0
1	4	4	6	0
1	4	4	7	0
1	4	5	1	0
1	4	6	7	0
1	4	6	8	0
1	4	6	9	0
1	4	6	10	0
1	4	7	1	0
1	4	7	2	0
1	4	7	3	0
1	4	7	4	0
1	4	7	5	0
1	4	9	5	0
1	4	9	6	0
1	4	9	7	0
1	4	9	8	0
1	4	9	9	0
1	4	10	3	0
2	1	1	5	0
2	1	1	6	0
2	1	1	7	0
2	1	1	8	0
2	1	2	1	0
2	1	2	2	0
2	1	3	9	0
2	1	3	10	0
2	1	4	3	0
2	1	4	4	0
2	1	4	5	0
2	1	4	6	0
2	1	6	7	0
2	1	6	8	0
2	1	6	9	0
2	1	6	10	0
2	1	7	1	0
2	1	7	2	0
