1	1	1	1	0
1	1	1	2	0
1	1	1	3	0
1	1	1	4	0
1	1	1	5	0
1	1	1	6	0
1	1	1	7	0
1	1	1	8	0
1	1	1	9	0
1	1	1	10	0
1	1	10	3	0
1	1	10	4	0
1	1	10	5	0
1	1	10	6	0
1	1	10	7	0
1	1	10	8	0
1	1	10	9	0
1	1	10	10	0
1	1	10	11	0
1	1	10	12	0
1	2	1	1	0
1	2	1	2	0
1	2	1	3	0
1	2	1	4	0
1	2	1	5	0
1	2	1	6	0
1	2	1	7	0
1	2	1	8	0
1	2	1	9	0
1	2	1	10	0
1	2	10	3	0
1	2	10	4	0
1	2	10	5	0
1	2	10	6	0
1	2	10	7	0
1	2	10	8	0
1	2	10	9	0
1	2	10	10	0
1	2	10	11	0
1	2	10	12	0
1	3	1	1	0
1	3	1	2	0
1	3	1	3	0
1	3	1	4	0
1	3	1	5	0
1	3	1	6	0
1	3	1	7	0
1	3	1	8	0
1	3	1	9	0
1	3	1	10	0
1	3	10	3	0
1	3	10	4	0
1	3	10	5	0
1	3	10	6	0
1	3	10	7	0
1	3	10	8	0
1	3	10	9	0
1	3	10	10	0
1	3	10	11	0
1	3	10	12	0
1	4	1	1	0
1	4	1	2	0
1	4	1	3	0
1	4	1	4	0
1	4	1	5	0
1	4	1	6	0
1	4	1	7	0
1	4	1	8	0
1	4	1	9	0
1	4	1	10	0
1	4	2	8	0
1	4	2	10	0
1	4	2	12	0
1	4	4	8	0
1	4	4	10	0
1	4	4	12	0
1	4	10	3	0
1	4	10	4	0
1	4	10	5	0
1	4	10	6	0
1	4	10	7	0
1	4	10	8	0
1	4	10	9	0
1	4	10	10	0
1	4	10	11	0
1	4	10	12	0
2	1	1	1	0
2	1	1	2	0
2	1	1	3	0
2	1	1	4	0
2	1	1	5	0
2	1	1	6	0
2	1	1	7	0
2	1	1	8	0
2	1	1	9	0
2	1	1	10	0
2	1	10	3	0
2	1	10	4	0
2	1	10	5	0
2	1	10	6	0
2	1	10	7	0
2	1	10	8	0
2	1	10	9	0
2	1	10	10	0
2	1	10	11	0
2	1	10	12	0
2	2	1	1	0
2	2	1	2	0
2	2	1	3	0
2	2	1	4	0
2	2	1	5	0
2	2	1	6	0
2	2	1	7	0
2	2	1	8	0
2	2	1	9	0
2	2	1	10	0
2	2	10	3	0
2	2	10	4	0
2	2	10	5	0
2	2	10	6	0
2	2	10	7	0
2	2	10	8	0
2	2	10	9	0
2	2	10	10	0
2	2	10	11	0
2	2	10	12	0
2	3	1	1	0
2	3	1	2	0
2	3	1	3	0
2	3	1	4	0
2	3	1	5	0
2	3	1	6	0
2	3	1	7	0
2	3	1	8	0
2	3	1	9	0
2	3	1	10	0
2	3	10	3	0
2	3	10	4	0
2	3	10	5	0
2	3	10	6	0
2	3	10	7	0
2	3	10	8	0
2	3	10	9	0
2	3	10	10	0
2	3	10	11	0
2	3	10	12	0
2	4	1	1	0
2	4	1	2	0
2	4	1	3	0
2	4	1	4	0
2	4	1	5	0
2	4	1	6	0
2	4	1	7	0
2	4	1	8	0
2	4	1	9	0
2	4	1	10	0
2	4	10	3	0
2	4	10	4	0
2	4	10	5	0
2	4	10	6	0
2	4	10	7	0
2	4	10	8	0
2	4	10	9	0
2	4	10	10	0
2	4	10	11	0
2	4	10	12	0
3	1	1	1	0
3	1	1	2	0
3	1	1	3	0
3	1	1	4	0
3	1	1	5	0
3	1	1	6	0
3	1	1	7	0
3	1	1	8	0
3	1	1	9	0
3	1	1	10	0
